YAW_PITCH_ROLL


XYZ according to board
Note Y-based offset potentially apparent

ypr	-0.02	0.28	-1.18
ypr	-0.01	0.27	-1.15
ypr	0.00	0.25	-1.08
ypr	0.02	0.24	-1.02
ypr	0.04	0.22	-0.96
ypr	0.06	0.21	-0.90
ypr	0.08	0.19	-0.83
ypr	0.10	0.18	-0.76
ypr	0.12	0.15	-0.70
ypr	0.14	0.14	-0.64
ypr	0.15	0.12	-0.58
ypr	0.18	0.11	-0.52
ypr	0.20	0.09	-0.46
ypr	0.21	0.08	-0.40
ypr	0.23	0.06	-0.34
ypr	0.25	0.04	-0.29
ypr	0.27	0.03	-0.22
ypr	0.29	0.01	-0.17
ypr	0.31	0.00	-0.12
ypr	0.32	-0.01	-0.07
ypr	0.34	-0.02	-0.01
ypr	0.36	-0.04	0.03
ypr	0.38	-0.06	0.09
ypr	0.41	-0.08	0.15
ypr	0.43	-0.09	0.20
ypr	0.45	-0.10	0.25
ypr	0.48	-0.11	0.31
ypr	0.51	-0.12	0.36
ypr	0.53	-0.13	0.41
ypr	0.55	-0.15	0.45
ypr	0.57	-0.16	0.50
ypr	0.59	-0.17	0.55
ypr	0.61	-0.19	0.60
ypr	0.63	-0.20	0.65
ypr	0.64	-0.21	0.69
ypr	0.67	-0.23	0.74
ypr	0.69	-0.24	0.79
ypr	0.71	-0.26	0.83
ypr	0.73	-0.27	0.88
ypr	0.75	-0.28	0.92
ypr	0.77	-0.29	0.97
ypr	0.79	-0.31	1.01
ypr	0.81	-0.32	1.05
ypr	0.84	-0.33	1.10
ypr	0.86	-0.34	1.14
ypr	0.87	-0.35	1.19
ypr	0.89	-0.37	1.23
ypr	0.91	-0.38	1.27
ypr	0.93	-0.39	1.30
ypr	0.96	-0.40	1.35
ypr	0.97	-0.41	1.39
ypr	0.99	-0.42	1.42
ypr	1.01	-0.43	1.47
ypr	1.03	-0.44	1.51
ypr	1.06	-0.45	1.54
ypr	1.08	-0.46	1.58
ypr	1.09	-0.48	1.62
ypr	1.11	-0.48	1.65
ypr	1.13	-0.50	1.69
ypr	1.15	-0.51	1.73
